Batch 85/2797, Loss: 0.2473, Train Acc: 90.88%
Batch 90/2797, Loss: 0.2483, Train Acc: 90.82%
Batch 95/2797, Loss: 0.2483, Train Acc: 90.81%
Batch 100/2797, Loss: 0.2483, Train Acc: 90.78%
Batch 105/2797, Loss: 0.2478, Train Acc: 90.80%
Batch 110/2797, Loss: 0.2476, Train Acc: 90.75%
Batch 115/2797, Loss: 0.2469, Train Acc: 90.79%
Batch 120/2797, Loss: 0.2459, Train Acc: 90.83%
Batch 125/2797, Loss: 0.2477, Train Acc: 90.79%
Batch 130/2797, Loss: 0.2472, Train Acc: 90.80%
Batch 135/2797, Loss: 0.2466, Train Acc: 90.80%
Batch 140/2797, Loss: 0.2468, Train Acc: 90.76%
Batch 145/2797, Loss: 0.2467, Train Acc: 90.75%
Batch 150/2797, Loss: 0.2462, Train Acc: 90.77%
Batch 155/2797, Loss: 0.2473, Train Acc: 90.70%
Batch 160/2797, Loss: 0.2467, Train Acc: 90.74%
Batch 165/2797, Loss: 0.2477, Train Acc: 90.68%
Batch 170/2797, Loss: 0.2473, Train Acc: 90.68%
Batch 175/2797, Loss: 0.2475, Train Acc: 90.67%
Batch 180/2797, Loss: 0.2471, Train Acc: 90.69%
Batch 185/2797, Loss: 0.2470, Train Acc: 90.72%
Batch 190/2797, Loss: 0.2467, Train Acc: 90.74%
Batch 195/2797, Loss: 0.2471, Train Acc: 90.73%
Batch 200/2797, Loss: 0.2483, Train Acc: 90.68%
Batch 205/2797, Loss: 0.2488, Train Acc: 90.65%
Batch 210/2797, Loss: 0.2488, Train Acc: 90.68%
Batch 215/2797, Loss: 0.2482, Train Acc: 90.69%
Batch 220/2797, Loss: 0.2485, Train Acc: 90.68%
Batch 225/2797, Loss: 0.2482, Train Acc: 90.68%
Batch 230/2797, Loss: 0.2487, Train Acc: 90.67%
Batch 235/2797, Loss: 0.2484, Train Acc: 90.67%
